pair_id,scenario_id,seed,arm,control_state,arm_state,control_task_correct,arm_task_correct,intervention_outcome,attribution_note,control_latency_ms,arm_latency_ms,latency_delta_ms,control_cost_usd,arm_cost_usd,cost_delta_usd,control_credit_entries,arm_credit_entries,arm_route_path,arm_interventions
pair_84275aeffb51,healthy,0,AERIS_FULL,COMPLETED,COMPLETED,True,True,,no intervention to attribute,5638.5,5638.5,0.0,0.003928,0.003928,0.0,1,1,alpha,
pair_84275aeffb51,healthy,0,AERIS_NO_CONTEXT,COMPLETED,COMPLETED,True,True,,no intervention to attribute,5638.5,5638.5,0.0,0.003928,0.003928,0.0,1,1,alpha,
pair_84275aeffb51,healthy,0,AERIS_NO_DIVERSITY,COMPLETED,COMPLETED,True,True,,no intervention to attribute,5638.5,5638.5,0.0,0.003928,0.003928,0.0,1,1,alpha,
pair_84275aeffb51,healthy,0,AERIS_NO_SIDE_EFFECT_GATE,COMPLETED,COMPLETED,True,True,,no intervention to attribute,5638.5,5638.5,0.0,0.003928,0.003928,0.0,1,1,alpha,
pair_f4751d34869a,status_latency_8s,0,AERIS_FULL,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,13638.5,15159.2,1520.7,0.003928,0.005554,0.001626,1,1,alpha > bravo,REROUTE
pair_f4751d34869a,status_latency_8s,0,AERIS_NO_CONTEXT,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,13638.5,17118.6,3480.1,0.003928,0.008236,0.004308,1,1,alpha > bravo,REROUTE HOLD
pair_f4751d34869a,status_latency_8s,0,AERIS_NO_DIVERSITY,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,13638.5,15159.2,1520.7,0.003928,0.005554,0.001626,1,1,alpha > bravo,REROUTE
pair_f4751d34869a,status_latency_8s,0,AERIS_NO_SIDE_EFFECT_GATE,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,13638.5,15159.2,1520.7,0.003928,0.005554,0.001626,1,1,alpha > bravo,REROUTE
pair_af23421379c7,status_timeout,0,AERIS_FULL,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",12090.1,11809.2,-280.9,0.002427,0.005528,0.003101,0,1,alpha > bravo,REROUTE
pair_af23421379c7,status_timeout,0,AERIS_NO_CONTEXT,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",12090.1,13768.6,1678.5,0.002427,0.008201,0.005774,0,1,alpha > bravo,REROUTE HOLD
pair_af23421379c7,status_timeout,0,AERIS_NO_DIVERSITY,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",12090.1,11809.2,-280.9,0.002427,0.005528,0.003101,0,1,alpha > bravo,REROUTE
pair_af23421379c7,status_timeout,0,AERIS_NO_SIDE_EFFECT_GATE,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",12090.1,11809.2,-280.9,0.002427,0.005528,0.003101,0,1,alpha > bravo,REROUTE
pair_14af0a1da8ec,status_transient,0,AERIS_FULL,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005064,0.005489,0.000425,1,1,alpha,RETRY
pair_14af0a1da8ec,status_transient,0,AERIS_NO_CONTEXT,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005064,0.005489,0.000425,1,1,alpha,RETRY
pair_14af0a1da8ec,status_transient,0,AERIS_NO_DIVERSITY,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005064,0.005489,0.000425,1,1,alpha,RETRY
pair_14af0a1da8ec,status_transient,0,AERIS_NO_SIDE_EFFECT_GATE,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005064,0.005489,0.000425,1,1,alpha,RETRY
pair_19f6c4e3cb67,status_rate_limit,0,AERIS_FULL,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",2230.1,10271.4,8041.3,0.000427,0.006896,0.006469,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_19f6c4e3cb67,status_rate_limit,0,AERIS_NO_CONTEXT,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",2230.1,12691.6,10461.5,0.000427,0.009727,0.0093,0,1,alpha > bravo,RETRY RETRY REROUTE HOLD
pair_19f6c4e3cb67,status_rate_limit,0,AERIS_NO_DIVERSITY,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",2230.1,10271.4,8041.3,0.000427,0.006896,0.006469,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_19f6c4e3cb67,status_rate_limit,0,AERIS_NO_SIDE_EFFECT_GATE,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",2230.1,10271.4,8041.3,0.000427,0.006896,0.006469,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_33b9f51ea62f,status_malformed,0,AERIS_FULL,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005065,0.005491,0.000425,1,1,alpha,RETRY
pair_33b9f51ea62f,status_malformed,0,AERIS_NO_CONTEXT,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005065,0.005491,0.000425,1,1,alpha,RETRY
pair_33b9f51ea62f,status_malformed,0,AERIS_NO_DIVERSITY,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005065,0.005491,0.000425,1,1,alpha,RETRY
pair_33b9f51ea62f,status_malformed,0,AERIS_NO_SIDE_EFFECT_GATE,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6720.6,7409.2,688.7,0.005065,0.005491,0.000425,1,1,alpha,RETRY
pair_3657f6653da8,incident_db_persistent,0,AERIS_FULL,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",4951.0,10495.9,5544.9,0.004676,0.009229,0.004553,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_3657f6653da8,incident_db_persistent,0,AERIS_NO_CONTEXT,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",4951.0,12455.4,7504.4,0.004676,0.012019,0.007343,0,1,alpha > bravo,RETRY RETRY REROUTE HOLD
pair_3657f6653da8,incident_db_persistent,0,AERIS_NO_DIVERSITY,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",4951.0,10495.9,5544.9,0.004676,0.009229,0.004553,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_3657f6653da8,incident_db_persistent,0,AERIS_NO_SIDE_EFFECT_GATE,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",4951.0,10495.9,5544.9,0.004676,0.009229,0.004553,0,1,alpha > bravo,RETRY RETRY REROUTE
pair_dbb9f6587410,stale_incident,0,AERIS_FULL,COMPLETED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",5638.5,8063.9,2425.4,0.003929,0.006794,0.002866,1,1,alpha > bravo,REROUTE
pair_dbb9f6587410,stale_incident,0,AERIS_NO_CONTEXT,COMPLETED,ABORTED,False,False,NEUTRAL,same outcome and safety record,5638.5,8803.9,3165.4,0.003929,0.010126,0.006197,1,0,alpha > bravo,REROUTE HOLD HOLD ABORT
pair_dbb9f6587410,stale_incident,0,AERIS_NO_DIVERSITY,COMPLETED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",5638.5,8063.9,2425.4,0.003929,0.006794,0.002866,1,1,alpha > bravo,REROUTE
pair_dbb9f6587410,stale_incident,0,AERIS_NO_SIDE_EFFECT_GATE,COMPLETED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",5638.5,8063.9,2425.4,0.003929,0.006794,0.002866,1,1,alpha > bravo,REROUTE
pair_e95c7a69509b,runbook_no_progress,0,AERIS_FULL,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",5338.5,10791.4,5452.9,0.003799,0.00832,0.004522,0,1,alpha > bravo,REROUTE
pair_e95c7a69509b,runbook_no_progress,0,AERIS_NO_CONTEXT,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",5338.5,13211.6,7873.1,0.003799,0.011105,0.007307,0,1,alpha > bravo,REROUTE HOLD
pair_e95c7a69509b,runbook_no_progress,0,AERIS_NO_DIVERSITY,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",5338.5,10791.4,5452.9,0.003799,0.00832,0.004522,0,1,alpha > bravo,REROUTE
pair_e95c7a69509b,runbook_no_progress,0,AERIS_NO_SIDE_EFFECT_GATE,FAILED,COMPLETED,False,True,BENEFICIAL,"AERIS acceptable, CONTROL not",5338.5,10791.4,5452.9,0.003799,0.00832,0.004522,0,1,alpha > bravo,REROUTE
pair_651914733f3a,credit_lost_response_unkeyed,0,AERIS_FULL,COMPLETED,ABORTED,False,False,BENEFICIAL,"same outcome, fewer unsafe or duplicate effects",6670.6,4951.0,-1719.6,0.004134,0.003743,-0.000391,2,1,alpha,ABORT
pair_651914733f3a,credit_lost_response_unkeyed,0,AERIS_NO_CONTEXT,COMPLETED,ABORTED,False,False,BENEFICIAL,"same outcome, fewer unsafe or duplicate effects",6670.6,4951.0,-1719.6,0.004134,0.003743,-0.000391,2,1,alpha,ABORT
pair_651914733f3a,credit_lost_response_unkeyed,0,AERIS_NO_DIVERSITY,COMPLETED,ABORTED,False,False,BENEFICIAL,"same outcome, fewer unsafe or duplicate effects",6670.6,4951.0,-1719.6,0.004134,0.003743,-0.000391,2,1,alpha,ABORT
pair_651914733f3a,credit_lost_response_unkeyed,0,AERIS_NO_SIDE_EFFECT_GATE,COMPLETED,COMPLETED,False,False,NEUTRAL,same outcome and safety record,6670.6,6670.6,-0.0,0.004134,0.004148,1.4e-05,2,2,alpha,RETRY
pair_de0b09e00ade,credit_lost_response_keyed,0,AERIS_FULL,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6670.6,6670.6,-0.0,0.004134,0.004148,1.4e-05,1,1,alpha,RETRY
pair_de0b09e00ade,credit_lost_response_keyed,0,AERIS_NO_CONTEXT,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6670.6,6670.6,-0.0,0.004134,0.004148,1.4e-05,1,1,alpha,RETRY
pair_de0b09e00ade,credit_lost_response_keyed,0,AERIS_NO_DIVERSITY,COMPLETED,COMPLETED,True,True,NEUTRAL,same outcome and safety record,6670.6,6670.6,-0.0,0.004134,0.004148,1.4e-05,1,1,alpha,RETRY
